Team,DATE,Points
Quinnipiac Bobcats,"Tue, Nov 25",91
Quinnipiac Bobcats,"Sun, Nov 30",76
Quinnipiac Bobcats,"Fri, Dec 5",89
Quinnipiac Bobcats,"Sun, Dec 7",72
Quinnipiac Bobcats,"Sat, Dec 13",75
Quinnipiac Bobcats,"Wed, Dec 17",85
Quinnipiac Bobcats,"Sun, Dec 21",66
Quinnipiac Bobcats,"Mon, Dec 29",64
Quinnipiac Bobcats,"Fri, Jan 2",79
Quinnipiac Bobcats,"Sun, Jan 4",80
Quinnipiac Bobcats,"Sun, Jan 11",70
Quinnipiac Bobcats,"Wed, Jan 14",70
Quinnipiac Bobcats,"Sat, Jan 17",71
Quinnipiac Bobcats,"Mon, Jan 19",98
Quinnipiac Bobcats,"Thu, Jan 22",77
Quinnipiac Bobcats,"Sat, Jan 24",64
Quinnipiac Bobcats,"Fri, Jan 30",91
Quinnipiac Bobcats,"Sun, Feb 1",72
Quinnipiac Bobcats,"Thu, Feb 5",75
Quinnipiac Bobcats,"Sat, Feb 7",56
Quinnipiac Bobcats,"Fri, Feb 13",74
Quinnipiac Bobcats,"Sun, Feb 15",49
Quinnipiac Bobcats,"Sun, Feb 22",79
Quinnipiac Bobcats,"Fri, Feb 27",76
Quinnipiac Bobcats,"Sun, Mar 1",67
Quinnipiac Bobcats,"Sat, Mar 7",75
Murray State Racers,"Wed, Mar 18",75
Murray State Racers,"Mon, Nov 3",85
Murray State Racers,"Fri, Nov 7",108
Murray State Racers,"Tue, Nov 11",91
Murray State Racers,"Sat, Nov 15",99
Murray State Racers,"Tue, Nov 18",89
Murray State Racers,"Sun, Nov 23",87
Murray State Racers,"Mon, Nov 24",60
Murray State Racers,"Tue, Nov 25",96
Murray State Racers,"Tue, Dec 2",84
Murray State Racers,"Sat, Dec 6",81
Murray State Racers,"Sat, Dec 13",115
Murray State Racers,"Thu, Dec 18",81
Murray State Racers,"Sun, Dec 21",85
Murray State Racers,"Mon, Dec 29",84
Murray State Racers,"Thu, Jan 1",81
Murray State Racers,"Sun, Jan 4",86
Murray State Racers,"Wed, Jan 7",79
Murray State Racers,"Sat, Jan 10",92
Murray State Racers,"Sat, Jan 17",85
Murray State Racers,"Wed, Jan 21",90
Murray State Racers,"Sat, Jan 24",76
Murray State Racers,"Wed, Jan 28",65
Murray State Racers,"Sat, Jan 31",86
Murray State Racers,"Tue, Feb 3",81
Murray State Racers,"Fri, Feb 6",91
Murray State Racers,"Mon, Feb 9",60
Murray State Racers,"Thu, Feb 12",74
Murray State Racers,"Sun, Feb 15",70
Murray State Racers,"Wed, Feb 18",61
Murray State Racers,"Sat, Feb 21",88
Murray State Racers,"Sun, Mar 1",78
Murray State Racers,"Fri, Mar 6",79
SMU Mustangs,"Wed, Mar 18",79
SMU Mustangs,"Mon, Nov 3",96
SMU Mustangs,"Thu, Nov 6",69
SMU Mustangs,"Tue, Nov 11",102
SMU Mustangs,"Sat, Nov 15",87
SMU Mustangs,"Tue, Nov 18",106
SMU Mustangs,"Fri, Nov 21",100
SMU Mustangs,"Mon, Nov 24",89
SMU Mustangs,"Fri, Nov 28",87
SMU Mustangs,"Wed, Dec 3",69
SMU Mustangs,"Sun, Dec 7",93
SMU Mustangs,"Sat, Dec 13",77
SMU Mustangs,"Sun, Dec 21",99
SMU Mustangs,"Sun, Dec 28",110
SMU Mustangs,"Sat, Jan 3",97
SMU Mustangs,"Wed, Jan 7",70
SMU Mustangs,"Sat, Jan 10",75
SMU Mustangs,"Wed, Jan 14",77
SMU Mustangs,"Sat, Jan 17",68
SMU Mustangs,"Tue, Jan 20",91
SMU Mustangs,"Sat, Jan 24",83
SMU Mustangs,"Sat, Jan 31",74
SMU Mustangs,"Tue, Feb 3",83
SMU Mustangs,"Sat, Feb 7",86
SMU Mustangs,"Tue, Feb 10",89
SMU Mustangs,"Sat, Feb 14",78
SMU Mustangs,"Tue, Feb 17",95
SMU Mustangs,"Sat, Feb 21",94
SMU Mustangs,"Wed, Feb 25",69
SMU Mustangs,"Sat, Feb 28",75
SMU Mustangs,"Wed, Mar 4",69
SMU Mustangs,"Sat, Mar 7",78
SMU Mustangs,"Tue, Mar 10",86
SMU Mustangs,"Wed, Mar 11",58
Siena Saints,"Thu, Mar 19",65
Siena Saints,"Mon, Nov 3",82
Siena Saints,"Fri, Nov 7",62
Siena Saints,"Wed, Nov 12",66
Siena Saints,"Mon, Nov 17",69
Siena Saints,"Fri, Nov 21",73
Siena Saints,"Mon, Nov 24",73
Siena Saints,"Fri, Nov 28",70
Siena Saints,"Sat, Nov 29",59
Siena Saints,"Sun, Nov 30",64
Siena Saints,"Fri, Dec 5",83
Siena Saints,"Sun, Dec 7",74
Siena Saints,"Wed, Dec 17",69
Siena Saints,"Mon, Dec 22",60
Siena Saints,"Fri, Jan 2",72
Siena Saints,"Sun, Jan 4",74
Siena Saints,"Fri, Jan 9",59
Siena Saints,"Sun, Jan 11",67
Siena Saints,"Wed, Jan 14",80
Siena Saints,"Sat, Jan 17",74
Siena Saints,"Mon, Jan 19",85
Siena Saints,"Thu, Jan 22",69
Siena Saints,"Fri, Jan 30",82
Siena Saints,"Sun, Feb 1",78
Siena Saints,"Thu, Feb 5",79
Siena Saints,"Sat, Feb 7",65
Siena Saints,"Fri, Feb 13",62
Siena Saints,"Sun, Feb 15",67
Siena Saints,"Fri, Feb 20",72
Siena Saints,"Sun, Feb 22",72
Siena Saints,"Fri, Feb 27",58
Siena Saints,"Sun, Mar 1",76
Siena Saints,"Sat, Mar 7",63
Siena Saints,"Sun, Mar 8",76
Siena Saints,"Tue, Mar 10",64
Charleston Southern Buccaneers,"Mon, Nov 3",67
Charleston Southern Buccaneers,"Thu, Nov 6",106
Charleston Southern Buccaneers,"Mon, Nov 10",96
Charleston Southern Buccaneers,"Thu, Nov 13",64
Charleston Southern Buccaneers,"Fri, Nov 14",77
Charleston Southern Buccaneers,"Tue, Nov 18",103
Charleston Southern Buccaneers,"Fri, Nov 21",77
Charleston Southern Buccaneers,"Tue, Nov 25",93
Charleston Southern Buccaneers,"Fri, Nov 28",62
Charleston Southern Buccaneers,"Tue, Dec 2",56
Charleston Southern Buccaneers,"Thu, Dec 4",124
Charleston Southern Buccaneers,"Mon, Dec 8",84
Charleston Southern Buccaneers,"Thu, Dec 18",113
Charleston Southern Buccaneers,"Sun, Dec 21",76
Charleston Southern Buccaneers,"Sun, Dec 28",77
Charleston Southern Buccaneers,"Wed, Dec 31",89
Charleston Southern Buccaneers,"Sat, Jan 3",86
Charleston Southern Buccaneers,"Wed, Jan 7",77
Charleston Southern Buccaneers,"Sat, Jan 10",82
Charleston Southern Buccaneers,"Wed, Jan 14",81
Charleston Southern Buccaneers,"Wed, Jan 21",83
Charleston Southern Buccaneers,"Fri, Jan 23",79
Charleston Southern Buccaneers,"Thu, Jan 29",75
Charleston Southern Buccaneers,"Wed, Feb 4",55
Charleston Southern Buccaneers,"Sat, Feb 7",94
Charleston Southern Buccaneers,"Thu, Feb 12",84
Charleston Southern Buccaneers,"Sat, Feb 14",80
Charleston Southern Buccaneers,"Tue, Feb 17",75
Charleston Southern Buccaneers,"Sat, Feb 21",96
Charleston Southern Buccaneers,"Thu, Feb 26",86
Charleston Southern Buccaneers,"Sat, Feb 28",92
Charleston Southern Buccaneers,"Fri, Mar 6",81
Indiana State Sycamores,"Mon, Nov 3",76
Indiana State Sycamores,"Thu, Nov 6",104
Indiana State Sycamores,"Mon, Nov 10",64
Indiana State Sycamores,"Fri, Nov 14",62
Indiana State Sycamores,"Wed, Nov 19",60
Indiana State Sycamores,"Sat, Nov 22",70
Indiana State Sycamores,"Wed, Nov 26",73
Indiana State Sycamores,"Fri, Nov 28",74
Indiana State Sycamores,"Tue, Dec 2",99
Indiana State Sycamores,"Sun, Dec 7",77
Indiana State Sycamores,"Sun, Dec 14",70
Indiana State Sycamores,"Thu, Dec 18",99
Indiana State Sycamores,"Sun, Dec 21",65
Indiana State Sycamores,"Mon, Dec 29",81
Indiana State Sycamores,"Thu, Jan 1",66
Indiana State Sycamores,"Sun, Jan 4",72
Indiana State Sycamores,"Sat, Jan 10",69
Indiana State Sycamores,"Wed, Jan 14",94
Indiana State Sycamores,"Sat, Jan 17",81
Indiana State Sycamores,"Wed, Jan 21",68
Indiana State Sycamores,"Sat, Jan 24",62
Indiana State Sycamores,"Tue, Jan 27",74
Indiana State Sycamores,"Sat, Jan 31",72
Indiana State Sycamores,"Tue, Feb 3",84
Indiana State Sycamores,"Mon, Feb 9",65
Indiana State Sycamores,"Thu, Feb 12",72
Indiana State Sycamores,"Sun, Feb 15",75
Indiana State Sycamores,"Wed, Feb 18",60
Indiana State Sycamores,"Sat, Feb 21",70
Indiana State Sycamores,"Wed, Feb 25",55
Indiana State Sycamores,"Sun, Mar 1",79
Indiana State Sycamores,"Thu, Mar 5",62
Western Carolina Catamounts,"Mon, Nov 3",63
Western Carolina Catamounts,"Sat, Nov 8",54
Western Carolina Catamounts,"Thu, Nov 13",95
Western Carolina Catamounts,"Sun, Nov 16",76
Western Carolina Catamounts,"Wed, Nov 19",80
Western Carolina Catamounts,"Sat, Nov 22",62
Western Carolina Catamounts,"Sat, Nov 29",73
Western Carolina Catamounts,"Tue, Dec 2",124
Western Carolina Catamounts,"Sat, Dec 6",67
Western Carolina Catamounts,"Thu, Dec 11",74
Western Carolina Catamounts,"Thu, Dec 18",82
Western Carolina Catamounts,"Wed, Dec 31",74
Western Carolina Catamounts,"Sat, Jan 3",80
Western Carolina Catamounts,"Wed, Jan 7",77
Western Carolina Catamounts,"Sat, Jan 10",77
Western Carolina Catamounts,"Wed, Jan 14",72
Western Carolina Catamounts,"Sat, Jan 17",82
Western Carolina Catamounts,"Wed, Jan 21",76
Western Carolina Catamounts,"Sat, Jan 24",88
Western Carolina Catamounts,"Thu, Jan 29",90
Western Carolina Catamounts,"Sun, Feb 1",74
Western Carolina Catamounts,"Wed, Feb 4",78
Western Carolina Catamounts,"Sat, Feb 7",66
Western Carolina Catamounts,"Wed, Feb 11",87
Western Carolina Catamounts,"Sat, Feb 14",81
Western Carolina Catamounts,"Wed, Feb 18",91
Western Carolina Catamounts,"Sat, Feb 21",81
Western Carolina Catamounts,"Wed, Feb 25",78
Western Carolina Catamounts,"Sat, Feb 28",86
Western Carolina Catamounts,"Sat, Mar 7",77
Western Carolina Catamounts,"Sun, Mar 8",67
Northern Arizona Lumberjacks,"Mon, Nov 3",71
Northern Arizona Lumberjacks,"Fri, Nov 7",87
Northern Arizona Lumberjacks,"Tue, Nov 11",49
Northern Arizona Lumberjacks,"Tue, Nov 18",108
Northern Arizona Lumberjacks,"Mon, Nov 24",93
Northern Arizona Lumberjacks,"Wed, Nov 26",79
Northern Arizona Lumberjacks,"Wed, Dec 3",62
Northern Arizona Lumberjacks,"Sat, Dec 6",68
Northern Arizona Lumberjacks,"Tue, Dec 9",48
Northern Arizona Lumberjacks,"Sat, Dec 13",69
Northern Arizona Lumberjacks,"Thu, Dec 18",65
Northern Arizona Lumberjacks,"Sun, Dec 21",66
Northern Arizona Lumberjacks,"Mon, Dec 29",112
Northern Arizona Lumberjacks,"Thu, Jan 1",64
Northern Arizona Lumberjacks,"Sat, Jan 3",68
Northern Arizona Lumberjacks,"Thu, Jan 8",65
Northern Arizona Lumberjacks,"Sat, Jan 10",79
Northern Arizona Lumberjacks,"Thu, Jan 15",69
Northern Arizona Lumberjacks,"Sat, Jan 17",52
Northern Arizona Lumberjacks,"Mon, Jan 19",72
Northern Arizona Lumberjacks,"Sat, Jan 24",81
Northern Arizona Lumberjacks,"Thu, Jan 29",92
Northern Arizona Lumberjacks,"Sat, Jan 31",62
Northern Arizona Lumberjacks,"Thu, Feb 5",79
Northern Arizona Lumberjacks,"Sat, Feb 7",53
Northern Arizona Lumberjacks,"Thu, Feb 12",68
Northern Arizona Lumberjacks,"Sat, Feb 14",79
Northern Arizona Lumberjacks,"Sat, Feb 21",77
Northern Arizona Lumberjacks,"Thu, Feb 26",58
Northern Arizona Lumberjacks,"Sat, Feb 28",57
Northern Arizona Lumberjacks,"Mon, Mar 2",65
Northern Arizona Lumberjacks,"Sat, Mar 7",65
Ohio Bobcats,"Mon, Nov 3",85
Ohio Bobcats,"Thu, Nov 6",72
Ohio Bobcats,"Tue, Nov 11",60
Ohio Bobcats,"Sat, Nov 15",81
Ohio Bobcats,"Wed, Nov 19",73
Ohio Bobcats,"Mon, Nov 24",69
Ohio Bobcats,"Tue, Nov 25",58
Ohio Bobcats,"Wed, Dec 3",79
Ohio Bobcats,"Sat, Dec 6",88
Ohio Bobcats,"Sat, Dec 13",88
Ohio Bobcats,"Tue, Dec 16",89
Ohio Bobcats,"Sat, Dec 20",58
Ohio Bobcats,"Mon, Dec 22",102
Ohio Bobcats,"Tue, Dec 30",80
Ohio Bobcats,"Sat, Jan 3",68
Ohio Bobcats,"Tue, Jan 6",86
Ohio Bobcats,"Sat, Jan 10",91
Ohio Bobcats,"Tue, Jan 13",85
Ohio Bobcats,"Fri, Jan 16",71
Ohio Bobcats,"Tue, Jan 20",80
Ohio Bobcats,"Fri, Jan 23",65
Ohio Bobcats,"Tue, Jan 27",57
Ohio Bobcats,"Sat, Jan 31",95
Ohio Bobcats,"Tue, Feb 3",91
Ohio Bobcats,"Sat, Feb 7",72
Ohio Bobcats,"Fri, Feb 13",74
Ohio Bobcats,"Tue, Feb 17",69
Ohio Bobcats,"Sat, Feb 21",74
Ohio Bobcats,"Sat, Feb 28",67
Ohio Bobcats,"Tue, Mar 3",82
Ohio Bobcats,"Fri, Mar 6",108
Ohio Bobcats,"Thu, Mar 12",75
VCU Rams,"Thu, Mar 19",82
VCU Rams,"Mon, Nov 3",103
VCU Rams,"Fri, Nov 7",77
VCU Rams,"Wed, Nov 12",78
VCU Rams,"Mon, Nov 17",79
VCU Rams,"Sat, Nov 22",101
VCU Rams,"Wed, Nov 26",78
VCU Rams,"Thu, Nov 27",74
VCU Rams,"Fri, Nov 28",86
VCU Rams,"Fri, Dec 5",83
VCU Rams,"Wed, Dec 10",78
VCU Rams,"Mon, Dec 15",84
VCU Rams,"Thu, Dec 18",105
VCU Rams,"Mon, Dec 22",100
VCU Rams,"Wed, Dec 31",89
VCU Rams,"Sat, Jan 3",93
VCU Rams,"Wed, Jan 7",62
VCU Rams,"Sat, Jan 10",80
VCU Rams,"Wed, Jan 14",84
VCU Rams,"Mon, Jan 19",79
VCU Rams,"Sat, Jan 24",75
VCU Rams,"Tue, Jan 27",77
VCU Rams,"Fri, Jan 30",89
VCU Rams,"Tue, Feb 3",63
VCU Rams,"Fri, Feb 6",99
VCU Rams,"Wed, Feb 11",77
VCU Rams,"Sat, Feb 14",78
VCU Rams,"Tue, Feb 17",89
VCU Rams,"Fri, Feb 20",75
VCU Rams,"Sat, Feb 28",82
VCU Rams,"Tue, Mar 3",70
VCU Rams,"Fri, Mar 6",68
VCU Rams,"Fri, Mar 13",71
VCU Rams,"Sat, Mar 14",77
VCU Rams,"Sun, Mar 15",70
East Carolina Pirates,"Tue, Nov 4",92
East Carolina Pirates,"Sat, Nov 8",72
East Carolina Pirates,"Thu, Nov 13",71
East Carolina Pirates,"Tue, Nov 18",60
East Carolina Pirates,"Fri, Nov 21",65
East Carolina Pirates,"Tue, Nov 25",56
East Carolina Pirates,"Thu, Nov 27",58
East Carolina Pirates,"Tue, Dec 2",68
East Carolina Pirates,"Sat, Dec 6",78
East Carolina Pirates,"Thu, Dec 11",54
East Carolina Pirates,"Sun, Dec 14",73
East Carolina Pirates,"Wed, Dec 17",74
East Carolina Pirates,"Mon, Dec 22",51
East Carolina Pirates,"Wed, Dec 31",70
East Carolina Pirates,"Wed, Jan 7",67
East Carolina Pirates,"Sun, Jan 11",85
East Carolina Pirates,"Wed, Jan 14",71
East Carolina Pirates,"Sun, Jan 18",70
East Carolina Pirates,"Wed, Jan 21",60
East Carolina Pirates,"Fri, Jan 23",63
East Carolina Pirates,"Wed, Jan 28",77
East Carolina Pirates,"Sun, Feb 1",76
East Carolina Pirates,"Sat, Feb 7",73
East Carolina Pirates,"Wed, Feb 11",88
East Carolina Pirates,"Sat, Feb 14",85
East Carolina Pirates,"Wed, Feb 18",89
East Carolina Pirates,"Sat, Feb 21",56
East Carolina Pirates,"Wed, Feb 25",82
East Carolina Pirates,"Sun, Mar 1",84
East Carolina Pirates,"Thu, Mar 5",66
East Carolina Pirates,"Sun, Mar 8",83
Virginia Cavaliers,"Fri, Mar 20",82
Virginia Cavaliers,"Mon, Nov 3",87
Virginia Cavaliers,"Fri, Nov 7",81
Virginia Cavaliers,"Tue, Nov 11",91
Virginia Cavaliers,"Sat, Nov 15",104
Virginia Cavaliers,"Fri, Nov 21",83
Virginia Cavaliers,"Sun, Nov 23",73
Virginia Cavaliers,"Fri, Nov 28",94
Virginia Cavaliers,"Wed, Dec 3",88
Virginia Cavaliers,"Sat, Dec 6",86
Virginia Cavaliers,"Tue, Dec 9",84
Virginia Cavaliers,"Sat, Dec 20",80
Virginia Cavaliers,"Mon, Dec 22",95
Virginia Cavaliers,"Wed, Dec 31",85
Virginia Cavaliers,"Sat, Jan 3",76
Virginia Cavaliers,"Wed, Jan 7",84
Virginia Cavaliers,"Sat, Jan 10",70
Virginia Cavaliers,"Tue, Jan 13",79
Virginia Cavaliers,"Sat, Jan 17",72
Virginia Cavaliers,"Sat, Jan 24",80
Virginia Cavaliers,"Tue, Jan 27",100
Virginia Cavaliers,"Sat, Jan 31",73
Virginia Cavaliers,"Tue, Feb 3",67
Virginia Cavaliers,"Sat, Feb 7",72
Virginia Cavaliers,"Tue, Feb 10",61
Virginia Cavaliers,"Sat, Feb 14",70
Virginia Cavaliers,"Wed, Feb 18",94
Virginia Cavaliers,"Sat, Feb 21",86
Virginia Cavaliers,"Tue, Feb 24",90
Virginia Cavaliers,"Sat, Feb 28",51
Virginia Cavaliers,"Tue, Mar 3",75
Virginia Cavaliers,"Sat, Mar 7",76
Virginia Cavaliers,"Thu, Mar 12",81
Virginia Cavaliers,"Fri, Mar 13",84
Virginia Cavaliers,"Sat, Mar 14",70
Delaware Blue Hens,"Mon, Nov 3",70
Delaware Blue Hens,"Fri, Nov 7",62
Delaware Blue Hens,"Tue, Nov 11",68
Delaware Blue Hens,"Tue, Nov 18",81
Delaware Blue Hens,"Sun, Nov 23",59
Delaware Blue Hens,"Tue, Nov 25",73
Delaware Blue Hens,"Mon, Dec 1",66
Delaware Blue Hens,"Sat, Dec 6",72
Delaware Blue Hens,"Wed, Dec 10",70
Delaware Blue Hens,"Sat, Dec 13",66
Delaware Blue Hens,"Tue, Dec 16",65
Delaware Blue Hens,"Mon, Dec 29",43
Delaware Blue Hens,"Fri, Jan 2",64
Delaware Blue Hens,"Sun, Jan 4",67
Delaware Blue Hens,"Thu, Jan 8",60
Delaware Blue Hens,"Sat, Jan 10",68
Delaware Blue Hens,"Thu, Jan 15",69
Delaware Blue Hens,"Sat, Jan 17",68
Delaware Blue Hens,"Sat, Jan 24",51
Delaware Blue Hens,"Wed, Jan 28",73
Delaware Blue Hens,"Sat, Jan 31",55
Delaware Blue Hens,"Wed, Feb 4",69
Delaware Blue Hens,"Sat, Feb 7",89
Delaware Blue Hens,"Thu, Feb 12",68
Delaware Blue Hens,"Sat, Feb 14",76
Delaware Blue Hens,"Wed, Feb 18",87
Delaware Blue Hens,"Sat, Feb 21",66
Delaware Blue Hens,"Thu, Feb 26",70
Delaware Blue Hens,"Sat, Feb 28",82
Delaware Blue Hens,"Thu, Mar 5",83
Delaware Blue Hens,"Sat, Mar 7",38
Robert Morris Colonials,"Tue, Nov 4",69
Robert Morris Colonials,"Thu, Nov 6",81
Robert Morris Colonials,"Mon, Nov 10",93
Robert Morris Colonials,"Thu, Nov 13",81
Robert Morris Colonials,"Thu, Nov 20",61
Robert Morris Colonials,"Sun, Nov 23",70
Robert Morris Colonials,"Wed, Nov 26",88
Robert Morris Colonials,"Fri, Nov 28",61
Robert Morris Colonials,"Sun, Nov 30",80
Robert Morris Colonials,"Thu, Dec 4",80
Robert Morris Colonials,"Sat, Dec 6",72
Robert Morris Colonials,"Sat, Dec 13",75
Robert Morris Colonials,"Wed, Dec 17",80
Robert Morris Colonials,"Sat, Dec 20",79
Robert Morris Colonials,"Mon, Dec 29",77
Robert Morris Colonials,"Fri, Jan 2",85
Robert Morris Colonials,"Sun, Jan 4",73
Robert Morris Colonials,"Sun, Jan 11",74
Robert Morris Colonials,"Thu, Jan 15",93
Robert Morris Colonials,"Sat, Jan 17",92
Robert Morris Colonials,"Thu, Jan 22",88
Robert Morris Colonials,"Sat, Jan 24",67
Robert Morris Colonials,"Wed, Jan 28",74
Robert Morris Colonials,"Sat, Jan 31",71
Robert Morris Colonials,"Wed, Feb 4",72
Robert Morris Colonials,"Sat, Feb 7",72
Robert Morris Colonials,"Thu, Feb 12",85
Robert Morris Colonials,"Sun, Feb 15",93
Robert Morris Colonials,"Sun, Feb 22",81
Robert Morris Colonials,"Wed, Feb 25",73
Robert Morris Colonials,"Sat, Feb 28",83
Robert Morris Colonials,"Wed, Mar 4",68
Robert Morris Colonials,"Mon, Mar 9",64
Northern Iowa Panthers,"Fri, Mar 20",53
Northern Iowa Panthers,"Thu, Nov 6",86
Northern Iowa Panthers,"Sun, Nov 9",65
Northern Iowa Panthers,"Fri, Nov 14",70
Northern Iowa Panthers,"Tue, Nov 18",70
Northern Iowa Panthers,"Sat, Nov 22",70
Northern Iowa Panthers,"Tue, Nov 25",72
Northern Iowa Panthers,"Wed, Nov 26",60
Northern Iowa Panthers,"Mon, Dec 1",99
Northern Iowa Panthers,"Sat, Dec 6",69
Northern Iowa Panthers,"Sat, Dec 13",75
Northern Iowa Panthers,"Wed, Dec 17",60
Northern Iowa Panthers,"Mon, Dec 22",58
Northern Iowa Panthers,"Mon, Dec 29",58
Northern Iowa Panthers,"Thu, Jan 1",75
Northern Iowa Panthers,"Sun, Jan 4",62
Northern Iowa Panthers,"Wed, Jan 7",65
Northern Iowa Panthers,"Sat, Jan 10",69
Northern Iowa Panthers,"Tue, Jan 13",61
Northern Iowa Panthers,"Sat, Jan 17",44
Northern Iowa Panthers,"Wed, Jan 21",54
Northern Iowa Panthers,"Sat, Jan 24",81
Northern Iowa Panthers,"Wed, Jan 28",50
Northern Iowa Panthers,"Sat, Jan 31",71
Northern Iowa Panthers,"Fri, Feb 6",61
Northern Iowa Panthers,"Mon, Feb 9",89
Northern Iowa Panthers,"Thu, Feb 12",86
Northern Iowa Panthers,"Sun, Feb 15",86
Northern Iowa Panthers,"Wed, Feb 18",81
Northern Iowa Panthers,"Sat, Feb 21",57
Northern Iowa Panthers,"Wed, Feb 25",69
Northern Iowa Panthers,"Sun, Mar 1",75
Northern Iowa Panthers,"Thu, Mar 5",68
Northern Iowa Panthers,"Fri, Mar 6",74
Northern Iowa Panthers,"Sat, Mar 7",73
Northern Iowa Panthers,"Sun, Mar 8",84
Kansas State Wildcats,"Tue, Nov 4",93
Kansas State Wildcats,"Sat, Nov 8",98
Kansas State Wildcats,"Thu, Nov 13",99
Kansas State Wildcats,"Mon, Nov 17",84
Kansas State Wildcats,"Thu, Nov 20",98
Kansas State Wildcats,"Fri, Nov 21",85
Kansas State Wildcats,"Tue, Nov 25",69
Kansas State Wildcats,"Mon, Dec 1",66
Kansas State Wildcats,"Sat, Dec 6",67
Kansas State Wildcats,"Mon, Dec 8",108
Kansas State Wildcats,"Sat, Dec 13",83
Kansas State Wildcats,"Sat, Dec 20",106
Kansas State Wildcats,"Sun, Dec 28",94
Kansas State Wildcats,"Sat, Jan 3",73
Kansas State Wildcats,"Wed, Jan 7",76
Kansas State Wildcats,"Sat, Jan 10",84
Kansas State Wildcats,"Wed, Jan 14",73
Kansas State Wildcats,"Sat, Jan 17",83
Kansas State Wildcats,"Tue, Jan 20",81
Kansas State Wildcats,"Sat, Jan 24",62
Kansas State Wildcats,"Tue, Jan 27",54
Kansas State Wildcats,"Sun, Feb 1",61
Kansas State Wildcats,"Sat, Feb 7",82
Kansas State Wildcats,"Wed, Feb 11",62
Kansas State Wildcats,"Sat, Feb 14",64
Kansas State Wildcats,"Tue, Feb 17",90
Kansas State Wildcats,"Sat, Feb 21",72
Kansas State Wildcats,"Wed, Feb 25",70
Kansas State Wildcats,"Sat, Feb 28",68
Kansas State Wildcats,"Tue, Mar 3",65
Kansas State Wildcats,"Sat, Mar 7",85
Kansas State Wildcats,"Tue, Mar 10",91
Rider Broncs,"Mon, Nov 3",53
Rider Broncs,"Wed, Nov 5",53
Rider Broncs,"Sat, Nov 15",86
Rider Broncs,"Tue, Nov 18",65
Rider Broncs,"Thu, Nov 20",45
Rider Broncs,"Tue, Nov 25",65
Rider Broncs,"Thu, Dec 4",66
Rider Broncs,"Sun, Dec 7",58
Rider Broncs,"Tue, Dec 9",38
Rider Broncs,"Tue, Dec 16",57
Rider Broncs,"Mon, Dec 22",79
Rider Broncs,"Mon, Dec 29",71
Rider Broncs,"Sun, Jan 4",65
Rider Broncs,"Fri, Jan 9",62
Rider Broncs,"Sun, Jan 11",49
Rider Broncs,"Wed, Jan 14",72
Rider Broncs,"Sat, Jan 17",58
Rider Broncs,"Mon, Jan 19",85
Rider Broncs,"Sat, Jan 24",61
Rider Broncs,"Fri, Jan 30",90
Rider Broncs,"Sun, Feb 1",81
Rider Broncs,"Thu, Feb 5",52
Rider Broncs,"Sat, Feb 7",47
Rider Broncs,"Fri, Feb 13",55
Rider Broncs,"Sun, Feb 15",75
Rider Broncs,"Fri, Feb 20",66
Rider Broncs,"Sun, Feb 22",67
Rider Broncs,"Fri, Feb 27",58
Rider Broncs,"Sun, Mar 1",61
Illinois State Redbirds,"Wed, Mar 18",79
Illinois State Redbirds,"Thu, Nov 6",68
Illinois State Redbirds,"Sun, Nov 9",76
Illinois State Redbirds,"Fri, Nov 14",67
Illinois State Redbirds,"Sun, Nov 16",82
Illinois State Redbirds,"Thu, Nov 20",93
Illinois State Redbirds,"Sun, Nov 23",94
Illinois State Redbirds,"Thu, Nov 27",79
Illinois State Redbirds,"Fri, Nov 28",72
Illinois State Redbirds,"Wed, Dec 3",89
Illinois State Redbirds,"Sat, Dec 6",95
Illinois State Redbirds,"Sat, Dec 13",78
Illinois State Redbirds,"Thu, Dec 18",75
Illinois State Redbirds,"Sun, Dec 21",85
Illinois State Redbirds,"Mon, Dec 29",73
Illinois State Redbirds,"Thu, Jan 1",73
Illinois State Redbirds,"Wed, Jan 7",71
Illinois State Redbirds,"Sat, Jan 10",59
Illinois State Redbirds,"Wed, Jan 14",89
Illinois State Redbirds,"Sat, Jan 17",88
Illinois State Redbirds,"Wed, Jan 21",59
Illinois State Redbirds,"Sat, Jan 24",69
Illinois State Redbirds,"Wed, Jan 28",70
Illinois State Redbirds,"Tue, Feb 3",50
Illinois State Redbirds,"Fri, Feb 6",86
Illinois State Redbirds,"Mon, Feb 9",80
Illinois State Redbirds,"Thu, Feb 12",86
Illinois State Redbirds,"Sun, Feb 15",56
Illinois State Redbirds,"Wed, Feb 18",78
Illinois State Redbirds,"Sat, Feb 21",60
Illinois State Redbirds,"Wed, Feb 25",71
Illinois State Redbirds,"Sun, Mar 1",81
Illinois State Redbirds,"Fri, Mar 6",52
Xavier Musketeers,"Mon, Nov 3",66
Xavier Musketeers,"Thu, Nov 6",74
Xavier Musketeers,"Mon, Nov 10",68
Xavier Musketeers,"Fri, Nov 14",62
Xavier Musketeers,"Tue, Nov 18",99
Xavier Musketeers,"Fri, Nov 21",77
Xavier Musketeers,"Sun, Nov 23",78
Xavier Musketeers,"Fri, Nov 28",88
Xavier Musketeers,"Mon, Dec 1",96
Xavier Musketeers,"Fri, Dec 5",79
Xavier Musketeers,"Fri, Dec 12",75
Xavier Musketeers,"Wed, Dec 17",57
